0,idx
ဆီးချို ရှိ ရင် ကလေး ထိခိုက် နိုင် လား ဆရာမ,idx_new_health_63
ဆီးချို အမှန်အကန် ပျောက် ချင် ရင် လာ ဆက်သွယ် ပေး ပါ ဗျ,idx_new_health_64
ဆီးချို က ကိုယ် နဲ့ တစ်သက်လုံး အတူ နေ သွား မဲ့ သူ ပါ,idx_new_health_65
ဆီးချို ရောဂါ ရှိ သူ တွေ နင်း ရင် ကော ပျောက် ပါ သလား,idx_new_health_66
ဆီးချို ရောဂါ ရှိ သူ များ ဥသျှစ်သီး ကို ကြို သောက် ကြ ပါ,idx_new_health_67
မ တည့် ဘူး အစ်မ ဆို သွေးတိုး ရှိ လို့ ကြိုက် ပေ မဲ့ မ စား ဘူး,idx_new_health_68
နောက် တစ် ခု က ဆီးချို တက် ရင် လည်း အသက်ရှု မ ဝ ဖြစ် တတ် တယ်,idx_new_health_69
နှလုံး က ပုံမှန် ထက် ခုန် ပြီး ည အိပ် မ ရ လို့ ပါ,idx_new_health_70
နှလုံး ရောဂါ သေချာ တယ် ဆို ရင် မကွေး ဦးဝင်းမြင့် နှလုံး ဆေး သောက်,idx_new_health_71
သွေးတိုး ရှိ ရင် တော့ အငန် တွေ မုန့်ဟင်းခါး တွေ လျှော့ စား ပါ,idx_new_health_72
သွေးတိုး ရောဂါ ပျောက်ကင်း စေ ရန် ဇီးသီး နဲ့ လက်ပံပွင့် ရော ပြီး ဟင်းချို ချက် စား ပါ,idx_new_health_73
သွေးတိုး ရောဂါ ဟာ လူကြီး လူငယ် ကျား မ မ ရွေး အဖြစ် များ နေ တဲ့ ရောဂါ တစ်ခု ပါ,idx_new_health_74
မကွေး ဦးဝင်းမြင့် သို့မဟုတ် အဝေရာ နှလုံး အားဆေး တစ်မျိုးမျိုး နေ့စဉ် မှီဝဲ ပါ,idx_new_health_75
ဆီးချို ထိန်း ချင် ရင် နေ့တိုင်း နာရီဝက် တစ် နာရီ ကိုယ် လက် လှုပ်ရှား အားကစား လုပ် ပါ,idx_new_health_76
ဆီးချို ရောဂါ စွဲကပ် လာ တာ လဲ ရှစ် နှစ် လောက် ရှိ ပါ ပြီ,idx_new_health_77
ဆီးချို ရှိ တဲ့ သူ တွေ တော့ နာနတ်သီး အူတိုင် ကို စား ပေး ပါ,idx_new_health_78
ဆီးချို သမား အများစု က တော့ ပိန် တာ များ တယ် ဖင် တွေ ရှူး လို့,idx_new_health_79
ဆီးချို ကျ ရင် မ ကောင်း ပါ အရမ်း အန္တရာယ် ရှိ ပါ တယ် သတိထား ပါ,idx_new_health_80
ဒေါသထွက် လျှင် စိတ် ထိခိုက် လျှင် ဝမ်းနည်း လျှင် ဆီးချို အော်တို ဝင် လာ ပါ တယ်,idx_new_health_81
အမေ ဆီးချို ဖြစ် နေ လို့ ယာကွန်း ဆိုတာ ဘယ်လို မျိုး လဲ နမူနာ လေး ပြ ပေး ပါ လား,idx_new_health_82
ကိုဗစ် ကာကွယ်ဆေး တိုင်း က နှလုံး ရောဂါ သမား တွေ မှာ ထိုး လို့ ရ ပါ တယ်,idx_new_health_83
ကြောင်လျှာသီး နှင့် ပုစွန် ချက် စား က နှလုံး လေ ရိုက် ရောဂါ နှလုံး တုန် ရင် တုန် ရောဂါ ပျောက် ၏,idx_new_health_84
ဆီးချို လူနာ တွေ မှာ အတွေး မှား တတ် တာ လေး ရှိ တတ် ပါ တယ်,idx_new_health_85
နံနက်စာ မ စား တဲ့ သူ ဟာ တဖြည်းဖြည်း နဲ့ နှလုံး အားနည်း လာ ပါ တယ်,idx_new_health_86
နှလုံး ရောဂါ ရှိ တဲ့ သူ တစ် ယောက် က ပုံမှန် နှလုံးခုန် နှုန်း ဘယ်လောက် ရှိ ရ မလဲ,idx_new_health_87
နှလုံး ရောဂါ ရှိ သူ နှလုံး အားနည်း ၍ မောပမ်း သူ များ ပျားရည် စား ပေး ပါ,idx_new_health_88
နှလုံး သွေးကြော ကျဥ်း နေ ရင် ကာကွယ် ဆေးထိုး လို့ ရ လား ရှင့်,idx_new_health_89
ကျွန်တော် ဆို သွေးတိုး နဲ့ နှလုံးခုန် နှုန်း မူမမှန် တဲ့ ရောဂါ ရှိ ပါ တယ်,idx_new_health_90
ဆရာ ကို တစ် ခု လောက် မေး ပါ စေ နှလုံး နံရံ ရောင် ရင် စိုးရိမ် ရ လား ဆရာ,idx_new_health_91
ဆီးချို သွေးတိုး အမှန် တကယ် ပျောက် ချင် တယ် ဆို ရင် ဆက်သွယ် ပေး ပါ ဗျ,idx_new_health_92
ဆီးချို ကျ စေ တယ် ဝမ်းချုပ် ခြင်း ကို သက်သာ စေ တယ် အဖျား ကျ စေ တယ်,idx_new_health_93
ဆီးချို သွေးချို ခံစား နေ ရ သူ များ ထံ ပို့ဆောင် ပေး လျှက် ရှိ ပါ တယ်,idx_new_health_94
ဆီးချို အရမ်း ကျ နေ ရင် အချိုဓာတ် ရအောင် သကြားလုံး တစ် လုံး လောက် စား ပေး ပါ,idx_new_health_95
တစ် ပတ် ကြာ လျှင် ထူးခြား စွာ ဖြင့် နှလုံး ရောဂါ သက်သာ ပျောက်ကင်း ကြောင်း သိ မြင် ရ ပါ လိမ့် မည်,idx_new_health_96
နှလုံး ရုတ်တရက် ဖောက်ပြန် ခြင်း ကို လျှော့ချ ပေး နိုင် ပါ ကြောင်း ဖော်ပြ ထား ပါ တယ်,idx_new_health_97
မျက်စိမှုန် ခြင်း ဇက်ကြောတက် ခြင်း သွေးတိုး လေငန်း ရောဂါ များ သက်သာ ပျောက်ကင်း သွား ပါ မည်,idx_new_health_98
သွေးတိုး အတွက် တိုင်းရင်းဆေး တွေ ထဲ မှာ နာမည် အကျော်ကြားဆုံး က တော့ ဒန့်သလွန်ရွက် ဖြစ် ပါ တယ်,idx_new_health_99
ဟုတ် အမ က ဝ တာ လား ရှင် ဘာ ဖြစ် လို နှလုံး သွေးကြောကျဉ်း ဖြစ် တာ လဲ့ အမ,idx_new_health_100
ကမ္ဘာ့ လူသား အားလုံး ကို သွေးတိုး ရောဂါ လုံးဝ လုံးဝ ပျောက်ကင်း စေ တာ ပြောင်းဖူး ပြုတ် ရည် ပါ,idx_new_health_101
ကိုဗစ် က ဝမ်းကိုက် ဝမ်းလျှော ဖြစ် တတ် ပါ တယ် သွေးတိုး မ ရှိ လျှင် ဘီပီအိုင် ဓာတ်ဆား တိုက် ပါ,idx_new_health_102
ကျွန်မ အမေ က တော့ နာတာရှည် ဆီးချို လူနာ မို့ ကျောက်ကပ် ပျက်စီး သွား တာ ပါ ရှင့်,idx_new_health_103
ငယ် တုန်း အချိန် စား ထား တာ တွေ က အသက် ကြီး တဲ့ အချိန် ဆီးချို ဖြစ် ကြ တာ ပါ,idx_new_health_104
ဆရာဝန် က ဆီး စစ် တော့ ဆီးချို မ ရှိ ဘူး တဲ့ အဲဒါ ကြောင့် မို့ သိ ချင် တာ ပါ,idx_new_health_105
ဆီးချို က သေရာပါ ရောဂါ ပါ အရှင်း မ ပျောက် ပါ ဘူး ဆေးစွဲ စား ရ ပါ တယ်,idx_new_health_106
ဆီးချို နဲ့ ပတ်သက် လာ ရင် အမှတ် မှား အသိ မှား နေ တာ တွေ ရှိ ပါ တယ်,idx_new_health_107
ဆီးချို သမား တွေ ရော ဆီးချို မ ရှိ သူ တွေ ပါ သတိ ပြု မိ ဖို့ မျှဝေ ပါ တယ်,idx_new_health_108
ဒီ ကမ္ဘာ မှာ တော့ ဆီးချို ပျောက် တဲ့ ဆေး အခု ထိ တော့ မ ပေါ် သေး ဘူး ဗျ,idx_new_health_109
နှလုံး ကြီး တာ က သွေးတိုး မ ထိန်း နိုင် တာ ကြောင့် လည်း ဖြစ် နိုင် ပါ တယ်,idx_new_health_110
နှလုံး မှ ပေး ပို့ တဲ့ သွေးကြော တွေ ပိတ် တာ ကျဉ်း တာ တွေ ဖြစ် နေ လို့ ဘဲ,idx_new_health_111
နှလုံး ရောဂါ ရှိ ပြီး နှလုံး ဆေး တွေ နဲ့ သွေးကျဲ ဆေး ပါ သောက် နေ ရ တယ်,idx_new_health_112
နှလုံး ရောဂါ ဟာ ရုတ်တရက် အသက်ရှူ ရပ် ပြီး သေ စေ နိုင် တဲ့ အထိ ပြင်းထန် ပါ တယ်,idx_new_health_113
နှလုံး သွေးကြောကျဉ်း ရောဂါ ရှိ သူ တွေ အထူး သတိထား ဖတ် မှတ် ထား ဖို့ လို ပါ တယ်,idx_new_health_114
နှလုံး အားနည်း တာ ဖြစ် နိုင် တယ် ဆရာဝန် နဲ့ တိုင်ပင် ပြီး နှလုံး ဆေး သောက် သင့် တယ်,idx_new_health_115
မ နှလုံး ကျန်းမာရေး တွက် အခု ပေး တဲ့ နည်း တွေ က အထောက်ကူ အများ ကြီး ရ ပါ လိမ့် မယ်,idx_new_health_116
လေးဘက်နာ ဖြစ် နေ ရင် နှလုံး ရောဂါ ရော ဖြစ် တတ် လား တစ်ခါ တစ်ခါ အသက်ရူ ကြပ် လို့ ပါ,idx_new_health_117
ဝ ပြီး သွေးတိုး သူ များ က နနွင်းခါး ကို အမှုန့် ကြိတ် ၍ ပျားရည် နှင့် စား ပါ,idx_new_health_118
သွေး တွင်း သကြား ဓာတ် ပမာဏ ကို လျှော့ချ ပေး နိုင် လို့ ဆီးချို ရောဂါ အတွက် ပါ ကောင်းကျိုး ပြု ပါ တယ်,idx_new_health_119
အစားအသောက် အနေအထိုင် သေချာ ဂရုစိုက် ပြီး ဆီးချို ထိန်း နိုင် မယ် ဆို ပြန် ကောင်း သွား မှာ ပါ ရှင်,idx_new_health_120
ကျွန်တော် ဆို နှလုံး သွေးကြော တစ် ချောင်း ပိတ် သွား ပြီ ကု လို့ မ ရ တော့ ဘူး တဲ့,idx_new_health_121
ဆီးချို အထူးကု နဲ့ ပြ ပါ လေ့ကျင့်ခန်း များများ လုပ် ပေး ပါ ဆီးချို ကျ ပါ တယ်,idx_new_health_122
ဆီးချို သွေးတိုး နှလုံး ရောဂါ ရှိ တဲ့ လူ တွေ အတွက် သောက် သုံး လို့ ရ ပါ တယ် နော်,idx_new_health_123
ဆီးရွှင် ဆေး ရှိ တယ် အင်္ဂလိပ် ဆေး သောက် ကြည့် ပါ ဆီး သွား မှ ဆီးချို ကျ မှာ ပါ,idx_new_health_124
နှလုံး အထူးကု ကိုယ်တိုင် တီဗွီ ဓာတ်မှန် ရိုက် ကြည့် ပြီး ပြော တာ စိုးရိမ် စိတ် မ ထား ပါ နဲ့,idx_new_health_125
နှလုံး ခုန် တာ ပုံမှန် ပြန် ဖြစ် တဲ့ အထိ သို့မဟုတ် ကူညီ မယ့် လူ ရောက် တဲ့ အထိ ဆက်လက် လုပ်ဆောင် ပါ,idx_new_health_126
မွေးရာ ပါ နှလုံး အပေါက် ပါ လို့ ရှိ ရင် ကိုဗစ် ကာကွယ်ဆေး ထိုး လို့ ရ ပါ သလား ရှင့်,idx_new_health_127
အုန်းရည် က တော့ ဆီးချို သမား တွေ မှာ သောက် လို့ ရ တယ် လို့ အကြံ ပြု ချင် ပါ တယ်,idx_new_health_128
အဲ့လို ဖြစ် နေ တယ် မနက်ကျ အားကုန် ည ဆို ဆီး ခဏ ခဏ သွား ဆီးချို စ ဖြစ် တာ လား,idx_new_health_129
ကင်ဆာ အဆစ်ရောင် ရောဂါ ဆီးချို နဲ့ စိတ်ကျ ဝေဒနာ တွေ အတွက် နနွင်း ဟာ အကောင်းဆုံး ဆေး တစ် မျိုး ဖြစ် ပါ တယ်,idx_new_health_130
ဆီးချို ဆိုတာ မျိုး က သွေး ထဲ မှာ သကြားဓာတ် တွေ များ လာ လို့ ဖြစ် လာ တာ ပါ တဲ့,idx_new_health_131
ဆီးချို ဆေး တွေ က အစာ စား ပြီး သောက် တာ လား မ စား ခင် ကြို သောက် ရ တာ လား,idx_new_health_132
ဆီးချို တိုင်း တဲ့ စက် ကလေး ဆောင် ထား ပေး တစ် ပတ် ကို တစ်ခါ နှစ်ခါ လောက် ပဲ တိုင်း ပေး နေ့တိုင်း,idx_new_health_133
ဆီးချို ရှိ ပြီး သွေး ထဲ မှာ ပိုတက်စီယမ် ဓါတ် များ နေ တဲ့ သူ သောက် လို့ ရ ပါ သလား,idx_new_health_134
ဒါ က လည်း နေ့ မ စေ့ လ မ စေ့ မွေး တာ သွေးတိုး တာ တွေ ဖြစ် တတ် ပါ တယ်,idx_new_health_135
နှလုံး မှာ မွေး ရ ပါ အပေါက် တစ် ပေါက် ပါ လို့ ပါ ဘယ်လို လုပ် ရ မ လဲ ဗျာ,idx_new_health_136
နှလုံး ရောဂါ သည် တွေ နှလုံး အား ကောင်း အောင် ဘာ စား ပေး ရ မ လည်း ဖြည့်စွက် အစာ,idx_new_health_137
နှလုံး ခုန် မြန် လာ ပြီး အသက်ရူ ကျပ် လာ ပါ တယ် လမ်းလျှောက် များ ရင် လဲ မော ပြီး နှလုံး အောင့် လာ ပါ တယ်,idx_new_health_138
နှလုံး နာ ရောဂါ ဖြစ် တော့ မယ် ဆိုတာ နှင့် ကြိုတင် သတိပေး တဲ့ ရောဂါ လက္ခဏာ တွေ အများကြီး ရှိ ပါ တယ်,idx_new_health_139
သွေးတိုး ရောဂါ နှလုံး ရောဂါ သွေးဆုံး ကိုင် ဝေဒနာ တို့ ကို သက်သာ စေ ကြောင်း လေ့လာ တွေ့ ရှိ ရ ပါ သည်,idx_new_health_140
အကို လည်း နှလုံး အထူးကု ပြန် ပြ ရ တယ် အဆုတ် ဓာတ်မှန် ရိုက် အီးစီဂျီ ဆွဲ မှ အဖြေ ထွက် တာ,idx_new_health_141
အချို ပါ တဲ့ အစား အစာ တွေ လျှော့ စား ပါ ဆီးချို ပုံမှန် တိုင်း ပါ ဖြစ် နိုင် ရင် ညစာ လျှော့ စား ပါ,idx_new_health_142
အုန်းရည် ဟာ ဆီးချို နဲ့ တည့် တယ် ဆို တိုင်း အမြဲ သောက် နေ ရ မှာ မ ဟုတ် ပါ ဘူး,idx_new_health_143
ကျောက်ဖရုံသီး ဟင်းချို နဲ့ မုန်လာဥ ပြုတ် က တော့ ဆီး သွား တယ် ဆီးချို က တော့ နားမလည် ဘူး တည့် ရင် စား ကြည့် ပါ,idx_new_health_144
ဆီးချို ဆေး သောက် တာ ဗိုက် ခဏ ခဏ ဆာ တယ် ဝိတ် ကျ တယ် ဘာ ကြောင့် ပါ လဲ သိ ချင် ပါ တယ်,idx_new_health_145
ဆီး အရမ်း သွား နေ ရင် သတိထား ဆီးချို အရမ်း တက် လို့ ဆီးချို အရမ်း တက် ရင် ညာဘက် လက်မောင်း ကိုက် မယ်,idx_new_health_146
ဆီးချို က တော့ သမားတော် နဲ့ ပြ တာ ပဲ သင့်တော် ပါ တယ် ဆေး ပြန် ညှိ ဖို့ လို နေ တာ ပါ,idx_new_health_147
ဘယ်ဘက် က နှလုံး ကို ဖိ အိပ် တော့ နှလုံး အားနည်း သူ တွေ ဆို အိပ် လို့ မ ရ ပါ ဘူး,idx_new_health_148
မိဘ က သွေးတိုး ရှိ လို့ တကယ့် ဆရာဝန် ကြီး တွေ နဲ့ ပြ တာ ဘာ မှ လုပ် လို့ မ ရ ဘူး တဲ့,idx_new_health_149
ရောဂါ အခံ ရှိ တဲ့ ဥပမာ သွေးကင်ဆာ ကျောက်ကပ် နှလုံး စ သ ဖြင့် အခံ ရှိ ရင် တော့ ဆိုးဝါး ပြင်းထန် နိုင် ပါ တယ်,idx_new_health_150
အိပ်ရေးပျက် မှာ စိုး လို ညဖက် ရေ မ သောက် တဲ့ အကျိုးဆက် ပါ လို့ နှလုံး ဆရာဝန် ကြီး တွေ ပြော ပါ တယ် နော်,idx_new_health_151
ဆီးချို ဘဲ ဖြစ်ဖြစ် သွေးချို ဘဲ ဖြစ်ဖြစ် ပျောက် အောင် ကုသ နိုင် တဲ့ ကုထုံး မ ရှိ သေး ပါ ဘူ,idx_new_health_152
ဆေးဖက် ဝင် သဘာဝ သစ်ဥ သစ်ဖု အသီးအရွက် များ နဲ့ ဖေါ်စပ် ထား တဲ့ ဆီးချို ဆေး ကို သောက် ကြည့် ပါ လို ချင် ရင် ဆက်သွယ် ပါ,idx_new_health_153
ထိန်း ထား တဲ့ သဘော ပေါ့ အစား အရမ်း ရှောင် ရ ပါ တယ် သွေးထိန်းဆေး နဲ့ ဆီးချို ဆေး နဲ့ အမြဲ သောက် ပေး ပါ,idx_new_health_154
ပုံ ထဲ က အချက် တွေ က ကာကွယ်ဆေး ထိုးထိုး မ ထိုးထိုး ဆီးချို သမား တွေ အမြဲ လုပ် နေ ရ မဲ့ ဟာ တွေ ပါ,idx_new_health_155
မဆင်မခြင် ပေါ့ပေါ့တန်တန် နေ ပါ က လေဖြတ် ရောဂါ နှလုံး ရောဂါ နှင့် ကျောက်ကပ် ရောဂါ တို့ ကို ပါ ဖြစ် စေ တတ် ပါ တယ်,idx_new_health_156
ဆင်ငိုမြက် ကို သုံး ခွက် တစ် ခွက် တင် ကြို သောက် တာ နှလုံး သွေးကြောကျဉ်း ပြီး မော မော နေ တာ အမှန် တကယ် သက်သာ ပါ တယ်,idx_new_health_157
တစ်ခါတစ်ရံ နှလုံး နာ ဝေဒနာ စ ဖြစ် နေ ပြီ ဖြစ် ပေမဲ့ ဒီ လက္ခဏာ တွေ မ ပေါ် တာ လဲ ရှိ တတ် ပါ တယ်,idx_new_health_158
တုပ်ကွေး ဖြစ် တဲ့ အခါ သက်သာ စေ တယ် သွေးတိုး ကျ စေ တယ် ပန်းနာ ရင်ကျပ် ကို သက်သာ စေ တယ် အရောင်ကျ စေ တယ်,idx_new_health_159
သွေးကြော ပြန် ဖွင့် နိုင် ဖို့ လို ပါ တယ် လူနာ က ဆီးချို သွေးချို သွေးတိုး မ ရှိ ရင် ပို အဆင်ပြေ ပါ တယ်,idx_new_health_160
သွေးတိုး သမား ကို ကူညီ ပါ ရ စေ ဗျာ ဩဇာညွန့် လေး ကို နှစ်သက် သလို စား ကြည့် ပါ လား သွေးတိုး အမြစ် ပြတ် ပါ တယ် နော်,idx_new_health_161
အခြား သစ်သီး များ ကို မိမိ ဆီးချို ထိန်း နိုင် ချိန် တွင် မိမိ လက်ဆန့် ရုံ ဆုပ်ထား နိုင် သော ပမာဏသာ စား ရ မယ် လို့,idx_new_health_162
အထိုင် များ ပြီး လေ့ကျင့်ခန်း မ လုပ် တာ က ဆီးချို ရောဂါ ကင်ဆာရောဂါ တွေ ဖြစ် စေ နိုင် ပါ တယ်,idx_new_health_163
အလည် သွား ရင်း က အပြန် ကျ တော့ မကွေး က မိတ်ဆွေ အချို့ ဆီးချို ရောဂါ ရှိ သူ တွေ အုန်းမှုတ်ခွက် နင်း ကြောင်း ပြောပြ ပါ တယ်,idx_new_health_164
အသဲ ကင်ဆာ ဖြစ် လို့ ဆီးချို လုံး ပျောက် သွား တယ် ဆီးချို အကြောင်း ရေး ထား တဲ့ ပိုစ့် တွေ ရှာ ဖတ် စေ ချင် ပါ တယ်,idx_new_health_165
နှလုံး သွေးကြော ကျယ် နေ တယ် တစ်ခါတစ်လေ အသက်ရူ တစ် မျိုး တွေ့ တယ် ကာကွယ်ဆေး ထိုး လို့ ရ ပါ လား ဖြေ ပေး ပါ အုံး,idx_new_health_166
မိသားစု ထဲ မှာ ဆီးချို ရောဂါ ခံစား နေ ရ သူ တစ် ယောက် ရှိ နေ လို့ ပူပင် သော က ဖြစ် နေ ပြီ လား,idx_new_health_167
ချောင်းဆိုး တာ က နှလုံး ကို ညှစ် ပေး ပြီး သွေးလည်ပတ်မှု ကို ဆက် ထိန်း ပေး ရုံ သာမက နှလုံးခုန် နှုန်း ပြန် မှန် အောင် လုပ် ပေး ပါ တယ်,idx_new_health_168
ငါ့ တုန်း က လည်း အဲ့လို အောင့် လို့ နှလုံး ကို ပြ တာ ဘောတက် လိမ်းဆေး ပေး လိုက် တာ ပျောက် သွား တယ် လူး ကြည့် ပေါ့,idx_new_health_169
ဆီးချို ကို ပျောက် စေ တဲ့ အစားအသောက် မ ရှိ တာ ကြောင့် အစားအစာ တစ် မျိုး ကို အလွန်အကျွံ မှီဝဲ တာ မျိုး ရှောင် သင့် ပါ တယ်,idx_new_health_170
ည ဆို သေး ခဏ တိုင်း ပေါက် တယ် ပေါက် ပြီး တိုင်း ရေ ငတ် တယ် မနက် ကြ အား ကုန် ပြီး လူ က ပျော့ နုန်း နေ ရက် ဆီးချို စတာ ဘဲ,idx_new_health_171
ဘာ ကိုလက်စရော များများ အောက် ပါ အိမ် တွင်း နည်းလမ်း များ နဲ့ ကိုလက်စရော လျော့ ချ ပြီး နှလုံး ရောဂါ ကို ကာကွယ် လို့ ရ ပါ တယ်,idx_new_health_172
